Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
23.1.1.3-23.1.0.3-60428-8080-6,23.1.1.3,60428,23.1.0.3,8080,6,08/04/2023 03:09:13 PM,28240,3,4,305.0,129.0,305.0,0.0,101.66666666666667,176.09183210283587,112.0,0.0,32.25,53.76724529550185,15368.271954674221,247.87535410764872,4706.666666666666,10757.734997045924,26664.0,168.0,1182.0,591.0,104.65180361560904,665.0,517.0,27798.0,9266.0,15072.392112733798,26664.0,168.0,0,0,0,0,104,136,106.23229461756374,141.64305949008497,0.0,305.0,54.25,108.43925225014893,11759.07142857143,1,2,0,3,6,0,0,0,1.0,62.0,101.66666666666667,32.25,0,0,0,0,0,0,0,43,0,18,64240,507,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
23.1.1.3-23.1.0.3-60428-8080-6,23.1.1.3,60428,23.1.0.3,8080,6,08/04/2023 03:09:13 PM,544,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,3676.470588235294,544.0,0.0,544.0,544.0,544.0,544.0,0.0,544.0,544.0,0,0,0,0,0,0,0,0,0,64,0,3676.470588235294,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,502,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
23.1.1.3-23.1.0.3-36222-8080-6,23.1.1.3,36222,23.1.0.3,8080,6,08/04/2023 03:09:13 PM,44055,3,4,305.0,129.0,305.0,0.0,101.66666666666667,176.09183210283587,112.0,0.0,32.25,53.76724529550185,9851.322210872773,158.89229372375442,7342.5,16507.81295932323,40988.0,2.0,2654.0,1327.0,1545.7354236737929,2420.0,234.0,44053.0,14684.333333333332,22819.87796490887,40988.0,178.0,0,0,0,0,104,136,68.09669731018046,90.79559641357395,0.0,305.0,54.25,108.43925225014893,11759.07142857143,1,2,0,3,6,0,0,0,1.0,62.0,101.66666666666667,32.25,0,0,0,0,0,0,0,43,0,18,64240,507,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
23.1.1.3-23.1.0.3-36222-8080-6,23.1.1.3,36222,23.1.0.3,8080,6,08/04/2023 03:09:13 PM,258,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,7751.937984496125,258.0,0.0,258.0,258.0,258.0,258.0,0.0,258.0,258.0,0,0,0,0,0,0,0,0,0,64,0,7751.937984496125,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,502,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
23.1.1.3-23.1.0.3-34130-8080-6,23.1.1.3,34130,23.1.0.3,8080,6,08/04/2023 03:09:13 PM,22257,3,4,305.0,129.0,305.0,0.0,101.66666666666667,176.09183210283587,112.0,0.0,32.25,53.76724529550185,19499.483308622006,314.507795300355,3709.5000000000005,7929.420174262428,19839.0,4.0,449.0,224.5,57.27564927611035,265.0,184.0,22077.0,7359.0,10849.23153960685,19839.0,174.0,0,0,0,0,104,136,134.78905512872356,179.7187401716314,0.0,305.0,54.25,108.43925225014893,11759.07142857143,1,2,0,3,6,0,0,0,1.0,62.0,101.66666666666667,32.25,0,0,0,0,0,0,0,43,0,18,64240,507,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
23.1.1.3-23.1.0.3-34130-8080-6,23.1.1.3,34130,23.1.0.3,8080,6,08/04/2023 03:09:13 PM,930,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2150.537634408602,930.0,0.0,930.0,930.0,930.0,930.0,0.0,930.0,930.0,0,0,0,0,0,0,0,0,0,64,0,2150.537634408602,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,502,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
23.1.1.3-23.1.0.3-49671-8080-6,23.1.1.3,49671,23.1.0.3,8080,6,08/04/2023 03:09:14 PM,24375,3,4,295.0,129.0,295.0,0.0,98.33333333333333,170.31832941093958,112.0,0.0,32.25,53.76724529550185,17394.871794871793,287.1794871794872,4062.5,8316.022769329098,20880.0,4.0,3166.0,1583.0,1940.3010075758864,2955.0,211.0,24168.0,8056.0,11200.815014988864,20880.0,189.0,0,0,0,0,72,92,123.07692307692307,164.1025641025641,0.0,295.0,53.0,105.14343943938135,11055.142857142855,1,2,0,3,6,0,0,0,1.0,60.57142857142857,98.33333333333333,32.25,0,0,0,0,0,0,0,42,0,18,8192,501,1,20,0,0,0,0,0,0,0,0,NeedManualLabel
23.1.1.3-23.1.0.3-49671-8080-6,23.1.1.3,49671,23.1.0.3,8080,6,08/04/2023 03:09:14 PM,583,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,3430.5317324185253,583.0,0.0,583.0,583.0,583.0,583.0,0.0,583.0,583.0,0,0,0,0,0,0,0,0,0,40,0,3430.5317324185253,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,256,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
23.1.1.3-23.1.0.3-60430-8080-6,23.1.1.3,60430,23.1.0.3,8080,6,08/04/2023 03:09:14 PM,27565,3,4,305.0,129.0,305.0,0.0,101.66666666666667,176.09183210283587,112.0,0.0,32.25,53.76724529550185,15744.603664066752,253.94522038817342,4594.166666666666,10815.826799956934,26671.0,3.0,421.0,210.5,81.31727983645297,268.0,153.0,27415.0,9138.333333333332,15184.45601045139,26671.0,224.0,0,0,0,0,104,136,108.83366588064575,145.11155450752767,0.0,305.0,54.25,108.43925225014893,11759.07142857143,1,2,0,3,6,0,0,0,1.0,62.0,101.66666666666667,32.25,0,0,0,0,0,0,0,43,0,18,64240,507,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
23.1.1.3-23.1.0.3-60430-8080-6,23.1.1.3,60430,23.1.0.3,8080,6,08/04/2023 03:09:14 PM,566,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,3533.5689045936397,566.0,0.0,566.0,566.0,566.0,566.0,0.0,566.0,566.0,0,0,0,0,0,0,0,0,0,64,0,3533.5689045936397,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,502,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
