Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
23.1.1.3-23.1.0.3-60430-8080-6,23.1.1.3,60430,23.1.0.3,8080,6,03/04/2023 03:59:17 PM,26611,3,4,305.0,129.0,305.0,0.0,101.66666666666667,176.09183210283587,112.0,0.0,32.25,53.76724529550185,16309.04513171245,263.0491150276202,4435.166666666666,8930.206143570633,22423.0,2.0,3740.0,1870.0,2623.3661582020914,3725.0,15.0,26598.0,8866.0,11888.459908667734,22423.0,219.0,0,0,0,0,104,136,112.73533501183721,150.31378001578295,0.0,305.0,54.25,108.43925225014893,11759.07142857143,1,2,0,3,6,0,0,0,1.0,62.0,101.66666666666667,32.25,0,0,0,0,0,0,0,43,0,18,64240,507,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
23.1.1.3-23.1.0.3-60430-8080-6,23.1.1.3,60430,23.1.0.3,8080,6,03/04/2023 03:59:17 PM,565,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,3539.823008849558,565.0,0.0,565.0,565.0,565.0,565.0,0.0,565.0,565.0,0,0,0,0,0,0,0,0,0,64,0,3539.823008849558,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,502,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
23.1.1.3-23.1.0.3-36224-8080-6,23.1.1.3,36224,23.1.0.3,8080,6,03/04/2023 03:59:17 PM,29295,3,4,305.0,129.0,305.0,0.0,101.66666666666667,176.09183210283587,112.0,0.0,32.25,53.76724529550185,14814.814814814814,238.94862604540023,4882.5,10613.325430796891,26487.0,3.0,497.0,248.5,31.81980515339464,271.0,226.0,29072.0,9690.666666666668,14588.303545420671,26487.0,183.0,0,0,0,0,104,136,102.40655401945725,136.54207202594299,0.0,305.0,54.25,108.43925225014893,11759.07142857143,1,2,0,3,6,0,0,0,1.0,62.0,101.66666666666667,32.25,0,0,0,0,0,0,0,43,0,18,64240,507,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
23.1.1.3-23.1.0.3-36224-8080-6,23.1.1.3,36224,23.1.0.3,8080,6,03/04/2023 03:59:17 PM,717,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2789.400278940028,717.0,0.0,717.0,717.0,717.0,717.0,0.0,717.0,717.0,0,0,0,0,0,0,0,0,0,64,0,2789.400278940028,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,502,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
23.1.1.3-23.1.0.3-34132-8080-6,23.1.1.3,34132,23.1.0.3,8080,6,03/04/2023 03:59:18 PM,20768,3,4,305.0,129.0,305.0,0.0,101.66666666666667,176.09183210283587,112.0,0.0,32.25,53.76724529550185,20897.53466872111,337.0570107858244,3461.333333333333,8065.46645065657,19921.0,2.0,678.0,339.0,202.2325394193526,482.0,196.0,20575.0,6858.333333333334,11313.732599515217,19921.0,167.0,0,0,0,0,104,136,144.45300462249617,192.60400616332822,0.0,305.0,54.25,108.43925225014893,11759.07142857143,1,2,0,3,6,0,0,0,1.0,62.0,101.66666666666667,32.25,0,0,0,0,0,0,0,43,0,18,64240,507,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
23.1.1.3-23.1.0.3-34132-8080-6,23.1.1.3,34132,23.1.0.3,8080,6,03/04/2023 03:59:18 PM,542,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,3690.036900369004,542.0,0.0,542.0,542.0,542.0,542.0,0.0,542.0,542.0,0,0,0,0,0,0,0,0,0,64,0,3690.036900369004,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,502,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
23.1.1.3-23.1.0.3-49672-8080-6,23.1.1.3,49672,23.1.0.3,8080,6,03/04/2023 03:59:18 PM,21381,3,4,295.0,129.0,295.0,0.0,98.33333333333333,170.31832941093958,112.0,0.0,32.25,53.76724529550185,19830.690800243206,327.3934801926944,3563.5,6939.028570340376,17489.0,3.0,3474.0,1737.0,2225.9721471752514,3311.0,163.0,21221.0,7073.666666666666,9174.879690401032,17489.0,187.0,0,0,0,0,72,92,140.31149151115477,187.08198868153968,0.0,295.0,53.0,105.14343943938135,11055.142857142855,1,2,0,3,6,0,0,0,1.0,60.57142857142857,98.33333333333333,32.25,0,0,0,0,0,0,0,42,0,18,8192,501,1,20,0,0,0,0,0,0,0,0,NeedManualLabel
23.1.1.3-23.1.0.3-49672-8080-6,23.1.1.3,49672,23.1.0.3,8080,6,03/04/2023 03:59:18 PM,696,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2873.5632183908046,696.0,0.0,696.0,696.0,696.0,696.0,0.0,696.0,696.0,0,0,0,0,0,0,0,0,0,40,0,2873.5632183908046,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,256,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
23.1.1.3-23.1.0.3-60432-8080-6,23.1.1.3,60432,23.1.0.3,8080,6,03/04/2023 03:59:18 PM,29711,7,5,305.0,129.0,305.0,0.0,43.57142857142858,115.2791642678143,72.0,0.0,25.8,30.597385509222843,14607.384470398169,403.89081484971894,2701.0000000000005,7089.301785084339,23861.0,3.0,29711.0,4951.833333333333,11161.99834109765,27731.0,175.0,29036.0,7258.999999999999,11165.66964703267,23861.0,549.0,0,0,0,0,232,168,235.6029753290027,168.28783952071623,0.0,305.0,33.38461538461539,84.46354091316408,7134.089743589743,1,2,0,4,11,0,0,0,0.0,36.166666666666664,43.57142857142857,25.8,0,0,0,434,4,15069,0,25,0,10,64240,507,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
23.1.1.3-23.1.0.3-36226-8080-6,23.1.1.3,36226,23.1.0.3,8080,6,03/04/2023 03:59:18 PM,27916,3,4,305.0,129.0,305.0,0.0,101.66666666666667,176.09183210283587,112.0,0.0,32.25,53.76724529550185,15546.639919759278,250.75225677031094,4652.666666666667,10969.33516064974,27043.0,3.0,416.0,208.0,33.94112549695428,232.0,184.0,27735.0,9245.0,15414.102601189601,27043.0,212.0,0,0,0,0,104,136,107.46525290156183,143.2870038687491,0.0,305.0,54.25,108.43925225014893,11759.07142857143,1,2,0,3,6,0,0,0,1.0,62.0,101.66666666666667,32.25,0,0,0,0,0,0,0,43,0,18,64240,507,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
