Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
23.1.0.3-23.1.1.3-8080-37968-6,23.1.0.3,8080,23.1.1.3,37968,6,08/04/2023 03:24:13 PM,14,2,0,129.0,0.0,112.0,17.0,64.5,67.17514421272202,0,0,0,0,9214285.714285715,142857.14285714287,14.0,0.0,14.0,14.0,14.0,14.0,0.0,14.0,14.0,0,0,0,0,0,1,0,0,0,64,0,142857.14285714287,0.0,17.0,112.0,48.66666666666667,54.84827557301445,3008.3333333333335,1,0,0,2,2,0,0,0,0.0,73.0,64.5,0.0,0,0,0,0,0,0,1,64,0,0,507,0,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
23.1.1.3-23.1.0.3-37968-8080-6,23.1.1.3,37968,23.1.0.3,8080,6,08/04/2023 03:24:13 PM,726,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2754.8209366391184,726.0,0.0,726.0,726.0,726.0,726.0,0.0,726.0,726.0,0,0,0,0,0,0,0,0,0,64,0,2754.8209366391184,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,502,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
23.1.1.3-23.1.0.3-50610-8080-6,23.1.1.3,50610,23.1.0.3,8080,6,08/04/2023 03:24:14 PM,72955,3,4,295.0,129.0,295.0,0.0,98.33333333333333,170.31832941093958,112.0,0.0,32.25,53.76724529550185,5811.801795627441,95.94955794667945,12159.166666666666,28335.438040846777,69975.0,4.0,2400.0,1200.0,1408.5567081236027,2196.0,204.0,72755.0,24251.666666666664,39616.17351957826,69975.0,176.0,0,0,0,0,72,92,41.12123912000548,54.82831882667397,0.0,295.0,53.0,105.14343943938135,11055.142857142855,1,2,0,3,6,0,0,0,1.0,60.57142857142857,98.33333333333333,32.25,0,0,0,0,0,0,0,42,0,18,8192,501,1,20,0,0,0,0,0,0,0,0,NeedManualLabel
23.1.1.3-23.1.0.3-50610-8080-6,23.1.1.3,50610,23.1.0.3,8080,6,08/04/2023 03:24:14 PM,587,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,3407.155025553663,587.0,0.0,587.0,587.0,587.0,587.0,0.0,587.0,587.0,0,0,0,0,0,0,0,0,0,40,0,3407.155025553663,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,256,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
23.1.1.3-23.1.0.3-35878-8080-6,23.1.1.3,35878,23.1.0.3,8080,6,08/04/2023 03:24:14 PM,119030,3,4,305.0,129.0,305.0,0.0,101.66666666666667,176.09183210283587,112.0,0.0,32.25,53.76724529550185,3646.1396286650424,58.80870368814585,19838.333333333332,47089.537350314524,115939.0,6.0,2719.0,1359.5,1692.1065273794081,2556.0,163.0,118873.0,39624.33333333333,66103.22428848183,115939.0,167.0,0,0,0,0,104,136,25.203730152062505,33.60497353608334,0.0,305.0,54.25,108.43925225014893,11759.07142857143,1,2,0,3,6,0,0,0,1.0,62.0,101.66666666666667,32.25,0,0,0,0,0,0,0,43,0,18,64240,507,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
23.1.1.3-23.1.0.3-35878-8080-6,23.1.1.3,35878,23.1.0.3,8080,6,08/04/2023 03:24:14 PM,1008,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1984.126984126984,1008.0,0.0,1008.0,1008.0,1008.0,1008.0,0.0,1008.0,1008.0,0,0,0,0,0,0,0,0,0,64,0,1984.126984126984,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,502,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
23.1.1.3-23.1.0.3-33944-8080-6,23.1.1.3,33944,23.1.0.3,8080,6,08/04/2023 03:24:14 PM,94534,3,4,305.0,129.0,305.0,0.0,101.66666666666667,176.09183210283587,112.0,0.0,32.25,53.76724529550185,4590.940825523092,74.04743266972729,15755.666666666668,37234.446947237804,91742.0,4.0,447.0,223.5,43.1335136523794,254.0,193.0,94345.0,31448.333333333336,52228.17027556425,91742.0,167.0,0,0,0,0,104,136,31.734614001311694,42.312818668415595,0.0,305.0,54.25,108.43925225014893,11759.07142857143,1,2,0,3,6,0,0,0,1.0,62.0,101.66666666666667,32.25,0,0,0,0,0,0,0,43,0,18,64240,507,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
23.1.1.3-23.1.0.3-33944-8080-6,23.1.1.3,33944,23.1.0.3,8080,6,08/04/2023 03:24:14 PM,245,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,8163.265306122449,245.0,0.0,245.0,245.0,245.0,245.0,0.0,245.0,245.0,0,0,0,0,0,0,0,0,0,64,0,8163.265306122449,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,502,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
23.1.1.3-23.1.0.3-37970-8080-6,23.1.1.3,37970,23.1.0.3,8080,6,08/04/2023 03:24:14 PM,23620,3,4,305.0,129.0,305.0,0.0,101.66666666666667,176.09183210283587,112.0,0.0,32.25,53.76724529550185,18374.259102455548,296.35901778154107,3936.6666666666665,6900.114569097144,17264.0,3.0,5956.0,2978.0,3896.1583643378767,5733.0,223.0,23400.0,7800.0,8688.998618943382,17264.0,183.0,0,0,0,0,104,136,127.01100762066046,169.34801016088062,0.0,305.0,54.25,108.43925225014893,11759.07142857143,1,2,0,3,6,0,0,0,1.0,62.0,101.66666666666667,32.25,0,0,0,0,0,0,0,43,0,18,64240,507,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
23.1.1.3-23.1.0.3-37970-8080-6,23.1.1.3,37970,23.1.0.3,8080,6,08/04/2023 03:24:14 PM,652,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,3067.4846625766872,652.0,0.0,652.0,652.0,652.0,652.0,0.0,652.0,652.0,0,0,0,0,0,0,0,0,0,64,0,3067.4846625766872,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,502,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
