Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
23.1.1.3-23.1.0.3-36234-8080-6,23.1.1.3,36234,23.1.0.3,8080,6,06/04/2023 04:10:24 AM,24005,3,4,305.0,129.0,305.0,0.0,101.66666666666667,176.09183210283587,112.0,0.0,32.25,53.76724529550185,18079.56675692564,291.60591543428455,4000.833333333333,9475.7701410844,23342.0,2.0,234.0,117.0,144.2497833620557,219.0,15.0,23992.0,7997.333333333334,13289.629804224545,23342.0,183.0,0,0,0,0,104,136,124.97396375755052,166.63195167673402,0.0,305.0,54.25,108.43925225014893,11759.07142857143,1,2,0,3,6,0,0,0,1.0,62.0,101.66666666666667,32.25,0,0,0,0,0,0,0,43,0,18,64240,507,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
23.1.1.3-23.1.0.3-36234-8080-6,23.1.1.3,36234,23.1.0.3,8080,6,06/04/2023 04:10:24 AM,243,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,8230.45267489712,243.0,0.0,243.0,243.0,243.0,243.0,0.0,243.0,243.0,0,0,0,0,0,0,0,0,0,64,0,8230.45267489712,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,502,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
23.1.1.3-23.1.0.3-60440-8080-6,23.1.1.3,60440,23.1.0.3,8080,6,06/04/2023 04:10:24 AM,49152,3,4,305.0,129.0,305.0,0.0,101.66666666666667,176.09183210283587,112.0,0.0,32.25,53.76724529550185,8829.752604166666,142.41536458333334,8192.0,19508.72942044151,48014.0,184.0,658.0,329.0,117.37972567696688,412.0,246.0,48968.0,16322.666666666668,27446.56664017074,48014.0,235.0,0,0,0,0,104,136,61.03515625,81.38020833333333,0.0,305.0,54.25,108.43925225014893,11759.07142857143,1,2,0,3,6,0,0,0,1.0,62.0,101.66666666666667,32.25,0,0,0,0,0,0,0,43,0,18,64240,507,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
23.1.1.3-23.1.0.3-60440-8080-6,23.1.1.3,60440,23.1.0.3,8080,6,06/04/2023 04:10:24 AM,780,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2564.102564102564,780.0,0.0,780.0,780.0,780.0,780.0,0.0,780.0,780.0,0,0,0,0,0,0,0,0,0,64,0,2564.102564102564,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,502,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
23.1.1.3-23.1.0.3-34142-8080-6,23.1.1.3,34142,23.1.0.3,8080,6,06/04/2023 04:10:24 AM,25408,3,4,305.0,129.0,305.0,0.0,101.66666666666667,176.09183210283587,112.0,0.0,32.25,53.76724529550185,17081.234256926953,275.50377833753146,4234.666666666667,8042.2698951643415,20280.0,4.0,530.0,265.0,7.0710678118654755,270.0,260.0,25152.0,8384.0,10546.785102579837,20280.0,178.0,0,0,0,0,104,136,118.07304785894206,157.43073047858942,0.0,305.0,54.25,108.43925225014893,11759.07142857143,1,2,0,3,6,0,0,0,1.0,62.0,101.66666666666667,32.25,0,0,0,0,0,0,0,43,0,18,64240,507,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
23.1.1.3-23.1.0.3-34142-8080-6,23.1.1.3,34142,23.1.0.3,8080,6,06/04/2023 04:10:24 AM,664,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,3012.0481927710844,664.0,0.0,664.0,664.0,664.0,664.0,0.0,664.0,664.0,0,0,0,0,0,0,0,0,0,64,0,3012.0481927710844,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,502,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
23.1.1.3-23.1.0.3-49678-8080-6,23.1.1.3,49678,23.1.0.3,8080,6,06/04/2023 04:10:24 AM,24063,3,4,295.0,129.0,295.0,0.0,98.33333333333333,170.31832941093958,112.0,0.0,32.25,53.76724529550185,17620.413082325562,290.90304617046917,4010.5,9285.943866942122,22963.0,3.0,408.0,204.0,52.32590180780452,241.0,167.0,23899.0,7966.333333333334,12987.49896374715,22963.0,457.0,0,0,0,0,72,92,124.67273407305822,166.23031209741094,0.0,295.0,53.0,105.14343943938135,11055.142857142855,1,2,0,3,6,0,0,0,1.0,60.57142857142857,98.33333333333333,32.25,0,0,0,0,0,0,0,42,0,18,8192,501,1,20,0,0,0,0,0,0,0,0,NeedManualLabel
23.1.1.3-23.1.0.3-49678-8080-6,23.1.1.3,49678,23.1.0.3,8080,6,06/04/2023 04:10:24 AM,779,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2567.394094993582,779.0,0.0,779.0,779.0,779.0,779.0,0.0,779.0,779.0,0,0,0,0,0,0,0,0,0,40,0,2567.394094993582,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,256,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
23.1.1.3-23.1.0.3-36236-8080-6,23.1.1.3,36236,23.1.0.3,8080,6,06/04/2023 04:10:25 AM,23556,4,5,305.0,129.0,305.0,0.0,76.25,152.5,73.0,0.0,25.8,30.865838721797275,18424.180675836305,382.06826286296484,2944.5,6883.353273348265,19813.0,2.0,23512.0,7837.333333333333,13184.986929585228,23062.0,193.0,23366.0,5841.5,9416.658802356598,19813.0,2.0,0,0,0,0,136,168,169.80811682798438,212.26014603498047,0.0,305.0,43.4,95.06044860450054,9036.488888888889,1,2,0,4,8,0,0,0,1.0,48.22222222222222,76.25,25.8,0,0,0,434,4,18783,0,33,0,14,64240,507,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
23.1.1.3-23.1.0.3-36236-8080-6,23.1.1.3,36236,23.1.0.3,8080,6,06/04/2023 04:10:25 AM,501,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,3992.015968063872,501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,0,0,0,0,0,0,0,0,0,64,0,3992.015968063872,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,502,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
23.1.1.3-23.1.0.3-60442-8080-6,23.1.1.3,60442,23.1.0.3,8080,6,06/04/2023 04:10:25 AM,42873,3,4,305.0,129.0,305.0,0.0,101.66666666666667,176.09183210283587,112.0,0.0,32.25,53.76724529550185,10122.92118582791,163.27292235206306,7145.5,16212.265427755618,40205.0,3.0,522.0,261.0,32.526911934581186,284.0,238.0,42638.0,14212.666666666668,22534.66011133368,40205.0,163.0,0,0,0,0,104,136,69.9741095794556,93.29881277260746,0.0,305.0,54.25,108.43925225014893,11759.07142857143,1,2,0,3,6,0,0,0,1.0,62.0,101.66666666666667,32.25,0,0,0,0,0,0,0,43,0,18,64240,507,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
23.1.1.3-23.1.0.3-60442-8080-6,23.1.1.3,60442,23.1.0.3,8080,6,06/04/2023 04:10:25 AM,258,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,7751.937984496125,258.0,0.0,258.0,258.0,258.0,258.0,0.0,258.0,258.0,0,0,0,0,0,0,0,0,0,64,0,7751.937984496125,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,502,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
